абажурчик;.СеИ;неод;м;;I1;мн;;I1;абакан;.СеИ;неод;м;!;I1;;;;ахи;.СмнИ;неод;;;;мн;!;I1*
абрек;.СеИ;одуш;м;;I1;мн;;I1;аарон;.СеИ;одуш;м;!;I1;;;;порточки;.СмнИ;неод;;;;мн;!;I1*+16е*
клок;.СеИ;неод;м;;I1;мн;;I1&III4;видеорынок;.СеИ;неод;м;!;I1#;;;;портки;.СмнИ;неод;;;;мн;!;I1*+16о*
сапог;.СеИ;неод;м;;I1;мн;;I12;восьмилеток;.СеИ;одуш;м;!;I1#;;;;гениталии;.СмнИ;неод;;;;мн;!;I11*
человек;.СеИ;одуш;м;;I1;мн;;I12;ванек;.СеИ;одуш;м;!;I1#ь;;;;волосоньки;.СмнИ;неод;;;;мн;!;I16#е*
автогараж;.СеИ;неод;м;;I1;мн;;I3;христос;.СеИ;одуш;м;!;I1*;;;;четвереньки;.СмнИ;неод;;;;мн;!;I16#е*-
алкаш;.СеИ;одуш;м;;I1;мн;;I3;ильич;.СеИ;одуш;м;!;I1+2;;;;брызги;.СмнИ;неод;;;;мн;!;I16*
сосед;.СеИ;одуш;м;;I1;мн;;I4;полвека;.СеИ/;неод;м;!;I1/*;;;;брючишки;.СмнИ;неод;;;;мн;!;I16е*
абажур;.СеИ;неод;м;;I1;мн;;II1;пол-литра;.СеИ/;неод;м;!;I1/**;;;;детишки;.СмнИ;одуш;;;;мн;!;I16е*
vip-клиент;.СеИ;одуш;м;;I1;мн;;II1;вибромассаж;.СеИ;неод;м;!;I2;;;;сумерки;.СмнИ;неод;;;;мн;!;I16е*+16о*
сын;.СеИ;одуш;м;;I1;мн;;II1&III11;аронович;.СеИ;одуш;м;!;I2;;;;карачки;.СмнИ;неод;;;;мн;!;I16е*-
зуб;.СеИ;неод;м;;I1;мн;;II1&III3;компроматец;.СеИ;неод;м;!;I2#;;;;автогонки;.СмнИ;неод;;;;мн;!;I16о*
аршин;.СеИ;неод;м;;I1;мн;;II1+4;пропоец;.СеИ;одуш;м;!;I2#й;;;;ребятки;.СмнИ;одуш;;;;мн;!;I16о*
партизан;.СеИ;одуш;м;;I1;мн;;II1+4;алтай;.СеИ;неод;м;!;I3;;;;гавайи;.СмнИ;неод;;;;мн;!;I2*
бампер;.СеИ;неод;м;;I1;мн;;II1+IV1;абель;.СеИ;одуш;м;!;I3;;;;альфа-лучи;.СмнИ;неод;;;;мн;!;I3*
асессор;.СеИ;одуш;м;;I1;мн;;II1+IV1;артогонь;.СеИ;неод;м;!;I3#;;;;башли;.СмнИ;неод;;;;мн;!;I4*
ампер;.СеИ;неод;м;;I1;мн;;II4;актиний;.СеИ;неод;м;!;I4;;;;грабли;.СмнИ;неод;;;;мн;!;I4*+19е*
башкир;.СеИ;одуш;м;;I1;мн;;II4;автопоение;.СеИ;неод;с;!;I4;;;;люди;.СмнИ;одуш;;;;мн;!;I7*
болгарин;.СеИ;одуш;м;;I1;мн;;II7;авгий;.СеИ;одуш;м;!;I4;;;;алименты;.СмнИ;неод;;;;мн;!;II1*
друг;.СеИ;одуш;м;;I1;мн;;III10;народушко;.СеИ;неод;м;!;I5;;;;бермуды;.СмнИ;неод;;;;мн;!;II1*+6*
брус;.СеИ;неод;м;;I1;мн;;III3;авиастроительство;.СеИ;неод;с;!;I5;;;;круглогубцы;.СмнИ;неод;;;;мн;!;II3*
брат;.СеИ;одуш;м;;I1;мн;;III3;золотко;.СеИ;одуш;с;!;I5;;;;гусельцы;.СмнИ;неод;;;;мн;!;II3*+6#е*
кум;.СеИ;одуш;м;;I1;мн;;III5;кофеишко;.СеИ;неод;м;!;I5&II2*;;;;сенцы;.СмнИ;неод;;;;мн;!;II3*+6е*
vip-номер;.СеИ;неод;м;;I1;мн;;IV1;воронко;.СеИ;одуш;м;!;I5*;;;;альпы;.СмнИ;неод;;;;мн;!;II6*
директор;.СеИ;одуш;м;;I1;мн;;IV1;бабье;.СеИ;неод;с;!;I6;;;;ножны;.СмнИ;неод;;;;мн;!;II6е*
бок;.СеИ;неод;м;;I1;мн;;IV1+I1;графье;.СеИ;одуш;с;!;I6;;;;автоколебания;.СмнИ;неод;;;;мн;!;III12*
домохозяин;.СеИ;одуш;м;;I1;мн;;IV10;гноище;.СеИ;неод;м;!;I7;;;;коренья;.СмнИ;неод;;;;мн;!;III2*
глаз;.СеИ;неод;м;;I1;мн;;IV5;долотце;.СеИ;неод;с;!;I7;;;;труселя;.СмнИ;неод;;;;мн;!;III7*
господин;.СеИ;одуш;м;;I1;мн;;IV8;агитлитература;.СеИ;неод;ж;!;II1;;;;воротца;.СмнИ;неод;;;;мн;!;IV3*+6е*
цыган;.СеИ;одуш;м;;I1;мн;;V1;августа;.СеИ;одуш;ж;!;II1;;;;перильца;.СмнИ;неод;;;;мн;!;IV6#е*
англичанин;.СеИ;одуш;м;;I1;мн;;V2;абдулла;.СеИ;одуш;м;!;II1;;;;белила;.СмнИ;неод;;;;мн;!;IV6*
барин;.СеИ;одуш;м;;I1;мн;;V2+II7;полбанки;.СеИ/;неод;ж;!;II1/;;;;близнята;.СмнИ;одуш;;;;мн;!;IV6*
авторынок;.СеИ;неод;м;;I1#;мн;;I1;полверсты;.СеИ/;неод;ж;!;II1/&1/*;;;;чресла;.СмнИ;неод;;;;мн;!;IV6*+6е*
ангелочек;.СеИ;одуш;м;;I1#;мн;;I1;полтонны;.СеИ/;неод;ж;!;II1/*;;;;волосища;.СмнИ1;неод;;;;мн;!;IV6*+I13*
щеночек;.СеИ;одуш;м;;I1#;мн;;I1&14о;аджичка;.СеИ;неод;ж;!;II2;;;;жвала;.СмнИ1;неод;;;;мн;!;IV6*+II5*
цветок;.СеИ;неод;м;;I1#;мн;;I1&II2;ветрюга;.СеИ;неод;м;!;II2;;;;дровца;.СмнИ;неод;;;;мн;!;IV6е*
щенок;.СеИ;одуш;м;;I1#;мн;;I1&IV11;аленка;.СеИ;одуш;ж;!;II2;;;;;;;;;;;;
жигуленок;.СеИ;неод;м;;I1#;мн;;I1&IV12;акимка;.СеИ;одуш;м;!;II2;;;;;;;;;;;;
глазок;.СеИ;неод;м;;I1#;мн;;I1+12;ехидца;.СеИ;неод;ж;!;II3;;;;;;;;;;;;
рожок;.СеИ;неод;м;;I1#;мн;;I1+13е;богородица;.СеИ;одуш;ж;!;II3;;;;;;;;;;;;
ботинок;.СеИ;неод;м;;I1#;мн;;I12;автоподача;.СеИ;неод;ж;!;II4;;;;;;;;;;;;
турок;.СеИ;одуш;м;;I1#;мн;;I12;валюша;.СеИ;одуш;ж;!;II4;;;;;;;;;;;;
сапожонок;.СеИ;неод;м;;I1#;мн;;I12&IV13;абраша;.СеИ;одуш;м;!;II4;;;;;;;;;;;;
голубеночек;.СеИ;одуш;м;;I1#;мн;;I15о;полтысячи;.СеИ/;неод;ж;!;II4**/*;;;;;;;;;;;;
багор;.СеИ;неод;м;;I1#;мн;;II1;адыгея;.СеИ;неод;ж;!;II5;;;;;;;;;;;;
борец;.СеИ;одуш;м;;I1#;мн;;II1;авдотья;.СеИ;одуш;ж;!;II5;;;;;;;;;;;;
супец;.СеИ;неод;м;;I1#;мн;;II3;афоня;.СеИ;одуш;м;!;II5;;;;;;;;;;;;
окорочок;.СеИ;неод;м;;I1#;мн;;IV1+I1;аллилуйя;.СеИ;неод;ж;!;II5*;;;;;;;;;;;;
бесенок;.СеИ;одуш;м;;I1#;мн;;IV11;майя;.СеИ;одуш;ж;!;II5*;;;;;;;;;;;;
масленок;.СеИ;неод;м;;I1#;мн;;IV12;исайя;.СеИ;одуш;м;!;II5*;;;;;;;;;;;;
аистенок;.СеИ;одуш;м;;I1#;мн;;IV12;абиссиния;.СеИ;неод;ж;!;II6;;;;;;;;;;;;
арапчонок;.СеИ;одуш;м;;I1#;мн;;IV13;агния;.СеИ;одуш;ж;!;II6;;;;;;;;;;;;
молодец;.СеИ;одуш;м;;I1#+2#;мн;;II1+3;иеремия;.СеИ;одуш;м;!;II6;;;;;;;;;;;;
боек;.СеИ;неод;м;;I1#й;мн;;I1;авиасвязь;.СеИ;неод;ж;!;III1;;;;;;;;;;;;
госзаем;.СеИ;неод;м;;I1#й;мн;;II1;адель;.СеИ;одуш;ж;!;III1;;;;;;;;;;;;
боец;.СеИ;одуш;м;;I1#й;мн;;II1;рожь;.СеИ;неод;ж;!;III1#;;;;;;;;;;;;
бутылек;.СеИ;неод;м;;I1#ь;мн;;I1;темя;.СеИ;неод;с;!;III2;;;;;;;;;;;;
гостек;.СеИ;одуш;м;;I1#ь;мн;;I1;;;;;;;;;;;;;;;;;;
валец;.СеИ;неод;м;;I1#ь;мн;;II1;;;;;;;;;;;;;;;;;;
делец;.СеИ;одуш;м;;I1#ь;мн;;II1;;;;;;;;;;;;;;;;;;
мох;.СеИ;неод;м;;I1&1#;мн;;I1**;;;;;;;;;;;;;;;;;;
дренаж;.СеИ;неод;м;;I1+2;мн;;I3;;;;;;;;;;;;;;;;;;
абордаж;.СеИ;неод;м;;I2;мн;;I3;;;;;;;;;;;;;;;;;;
апач;.СеИ;одуш;м;;I2;мн;;I3;;;;;;;;;;;;;;;;;;
муж;.СеИ;одуш;м;;I2;мн;;I3&III9;;;;;;;;;;;;;;;;;;
абзац;.СеИ;неод;м;;I2;мн;;II3;;;;;;;;;;;;;;;;;;
кронпринц;.СеИ;одуш;м;;I2;мн;;II3;;;;;;;;;;;;;;;;;;
герц;.СеИ;неод;м;;I2;мн;;II4;;;;;;;;;;;;;;;;;;
кореш;.СеИ;одуш;м;;I2;мн;;IV4;;;;;;;;;;;;;;;;;;
студенец;.СеИ;неод;м;;I2#;мн;;II1;;;;;;;;;;;;;;;;;;
авианосец;.СеИ;неод;м;;I2#;мн;;II3;;;;;;;;;;;;;;;;;;
абверовец;.СеИ;одуш;м;;I2#;мн;;II3;;;;;;;;;;;;;;;;;;
австралиец;.СеИ;одуш;м;;I2#й;мн;;II3;;;;;;;;;;;;;;;;;;
журналец;.СеИ;неод;м;;I2#ь;мн;;II3;;;;;;;;;;;;;;;;;;
анголец;.СеИ;одуш;м;;I2#ь;мн;;II3;;;;;;;;;;;;;;;;;;
аналой;.СеИ;неод;м;;I3;мн;;I2;;;;;;;;;;;;;;;;;;
антигерой;.СеИ;одуш;м;;I3;мн;;I2;;;;;;;;;;;;;;;;;;
абажуродержатель;.СеИ;неод;м;;I3;мн;;I4;;;;;;;;;;;;;;;;;;
vip-гость;.СеИ;одуш;м;;I3;мн;;I4;;;;;;;;;;;;;;;;;;
вексель;.СеИ;неод;м;;I3;мн;;I4+III7;;;;;;;;;;;;;;;;;;
егерь;.СеИ;одуш;м;;I3;мн;;I4+III7;;;;;;;;;;;;;;;;;;
край;.СеИ;неод;м;;I3;мн;;III2;;;;;;;;;;;;;;;;;;
зять;.СеИ;одуш;м;;I3;мн;;III3+9;;;;;;;;;;;;;;;;;;
вензель;.СеИ;неод;м;;I3;мн;;III7;;;;;;;;;;;;;;;;;;
дембель;.СеИ;одуш;м;;I3;мн;;III7;;;;;;;;;;;;;;;;;;
деверь;.СеИ;одуш;м;;I3;мн;;III9;;;;;;;;;;;;;;;;;;
бивень;.СеИ;неод;м;;I3#;мн;;I4;;;;;;;;;;;;;;;;;;
