отрепать                         .ГИ сов пер НБI5л&I-II1 П1 Пв2|2 С(2) ППД1в ППС1 ДП1
отреплю                          .ГНБ1е
отреплешь                        .ГНБ2е1
отрепешь                         .ГНБ2е2
отреплет                         .ГНБ3е1
отрепет                          .ГНБ3е2
отреплем                         .ГНБ1мн1
отрепем                          .ГНБ1мн2
отреплете                        .ГНБ2мн1
отрепете                         .ГНБ2мн2
отреплют                         .ГНБ3мн1
отрепят                          .ГНБ3мн2
отрепал                          .ГПм
отрепала                         .ГПж
отрепало                         .ГПс
отрепали                         .ГПмн
отрепли                          .ГПве1
отрепи                           .ГПве2
отреплите                        .ГПвмн1
отрепите                         .ГПвмн2
отреплемте                       .ГСДмн1
отрепемте                        .ГСДмн2
отрепавший                       .ППДмИ
отрепавшего                      .ППДмР
отрепавшему                      .ППДмД
отрепавший                       .ППДмВ
отрепавшим                       .ППДмТ
отрепавшем                       .ППДмП
отрепавшая                       .ППДжИ
отрепавшей                       .ППДжР
отрепавшей                       .ППДжД
отрепавшую                       .ППДжВ
отрепавшей                       .ППДжТ1
отрепавшею                       .ППДжТ2
отрепавшей                       .ППДжП
отрепавшее                       .ППДсИ
отрепавшего                      .ППДсР
отрепавшему                      .ППДсД
отрепавшее                       .ППДсВ
отрепавшим                       .ППДсТ
отрепавшем                       .ППДсП
отрепавшие                       .ППДмнИ
отрепавших                       .ППДмнР
отрепавшим                       .ППДмнД
отрепавшие                       .ППДмнВ
отрепавшими                      .ППДмнТ
отрепавших                       .ППДмнП
отрепанный                       .ППСмИ
отрепанного                      .ППСмР
отрепанному                      .ППСмД
отрепанный                       .ППСмВ
отрепанным                       .ППСмТ
отрепанном                       .ППСмП
отрепанная                       .ППСжИ
отрепанной                       .ППСжР
отрепанной                       .ППСжД
отрепанную                       .ППСжВ
отрепанной                       .ППСжТ1
отрепанною                       .ППСжТ2
отрепанной                       .ППСжП
отрепанное                       .ППСсИ
отрепанного                      .ППСсР
отрепанному                      .ППСсД
отрепанное                       .ППСсВ
отрепанным                       .ППСсТ
отрепанном                       .ППСсП
отрепанные                       .ППСмнИ
отрепанных                       .ППСмнР
отрепанным                       .ППСмнД
отрепанные                       .ППСмнВ
отрепанными                      .ППСмнТ
отрепанных                       .ППСмнП
отрепан                          .ППСКм
отрепана                         .ППСКж
отрепано                         .ППСКс
отрепаны                         .ППСКмн
отрепав                          .ДП
отрепавши                        .ДП*

отрепаться                       .ГИ сов неп НБI5л&I-II1 П1 Пв2|2 С(2) ППД1в ДП1
отреплюсь                        .ГНБ1е
отреплешься                      .ГНБ2е1
отрепешься                       .ГНБ2е2
отреплется                       .ГНБ3е1
отрепется                        .ГНБ3е2
отреплемся                       .ГНБ1мн1
отрепемся                        .ГНБ1мн2
отреплетесь                      .ГНБ2мн1
отрепетесь                       .ГНБ2мн2
отреплются                       .ГНБ3мн1
отрепятся                        .ГНБ3мн2
отрепался                        .ГПм
отрепалась                       .ГПж
отрепалось                       .ГПс
отрепались                       .ГПмн
отреплись                        .ГПве1
отрепись                         .ГПве2
отреплитесь                      .ГПвмн1
отрепитесь                       .ГПвмн2
отреплемтесь                     .ГСДмн1
отрепемтесь                      .ГСДмн2
отрепавшийся                     .ППДмИ
отрепавшегося                    .ППДмР
отрепавшемуся                    .ППДмД
отрепавшийся                     .ППДмВ
отрепавшимся                     .ППДмТ
отрепавшемся                     .ППДмП
отрепавшаяся                     .ППДжИ
отрепавшейся                     .ППДжР
отрепавшейся                     .ППДжД
отрепавшуюся                     .ППДжВ
отрепавшейся                     .ППДжТ1
отрепавшеюся                     .ППДжТ2
отрепавшейся                     .ППДжП
отрепавшееся                     .ППДсИ
отрепавшегося                    .ППДсР
отрепавшемуся                    .ППДсД
отрепавшееся                     .ППДсВ
отрепавшимся                     .ППДсТ
отрепавшемся                     .ППДсП
отрепавшиеся                     .ППДмнИ
отрепавшихся                     .ППДмнР
отрепавшимся                     .ППДмнД
отрепавшиеся                     .ППДмнВ
отрепавшимися                    .ППДмнТ
отрепавшихся                     .ППДмнП
отрепавшись                      .ДП

чтить                            .ГИ нес пер НБII7+I-II2 П1 Пв2!* ПНД1|1 ПНС2* ППД1в ДН1 ДП1
чту                              .ГНБ1е
чтишь                            .ГНБ2е
чтит                             .ГНБ3е
чтим                             .ГНБ1мн
чтите                            .ГНБ2мн
чтят                             .ГНБ3мн1
чтут                             .ГНБ3мн2
чтил                             .ГПм
чтила                            .ГПж
чтило                            .ГПс
чтили                            .ГПмн
чти                              .ГПве
чтите                            .ГПвмн
чтящий                           .ПНД1мИ
чтящего                          .ПНД1мР
чтящему                          .ПНД1мД
чтящий                           .ПНД1мВ
чтящим                           .ПНД1мТ
чтящем                           .ПНД1мП
чтящая                           .ПНД1жИ
чтящей                           .ПНД1жР
чтящей                           .ПНД1жД
чтящую                           .ПНД1жВ
чтящей                           .ПНД1жТ1
чтящею                           .ПНД1жТ2
чтящей                           .ПНД1жП
чтящее                           .ПНД1сИ
чтящего                          .ПНД1сР
чтящему                          .ПНД1сД
чтящее                           .ПНД1сВ
чтящим                           .ПНД1сТ
чтящем                           .ПНД1сП
чтящие                           .ПНД1мнИ
чтящих                           .ПНД1мнР
чтящим                           .ПНД1мнД
чтящие                           .ПНД1мнВ
чтящими                          .ПНД1мнТ
чтящих                           .ПНД1мнП
чтущий                           .ПНД2мИ
чтущего                          .ПНД2мР
чтущему                          .ПНД2мД
чтущий                           .ПНД2мВ
чтущим                           .ПНД2мТ
чтущем                           .ПНД2мП
чтущая                           .ПНД2жИ
чтущей                           .ПНД2жР
чтущей                           .ПНД2жД
чтущую                           .ПНД2жВ
чтущей                           .ПНД2жТ1
чтущею                           .ПНД2жТ2
чтущей                           .ПНД2жП
чтущее                           .ПНД2сИ
чтущего                          .ПНД2сР
чтущему                          .ПНД2сД
чтущее                           .ПНД2сВ
чтущим                           .ПНД2сТ
чтущем                           .ПНД2сП
чтущие                           .ПНД2мнИ
чтущих                           .ПНД2мнР
чтущим                           .ПНД2мнД
чтущие                           .ПНД2мнВ
чтущими                          .ПНД2мнТ
чтущих                           .ПНД2мнП
чтимый                           .ПНСмИ
чтимого                          .ПНСмР
чтимому                          .ПНСмД
чтимый                           .ПНСмВ
чтимым                           .ПНСмТ
чтимом                           .ПНСмП
чтимая                           .ПНСжИ
чтимой                           .ПНСжР
чтимой                           .ПНСжД
чтимую                           .ПНСжВ
чтимой                           .ПНСжТ1
чтимою                           .ПНСжТ2
чтимой                           .ПНСжП
чтимое                           .ПНСсИ
чтимого                          .ПНСсР
чтимому                          .ПНСсД
чтимое                           .ПНСсВ
чтимым                           .ПНСсТ
чтимом                           .ПНСсП
чтимые                           .ПНСмнИ
чтимых                           .ПНСмнР
чтимым                           .ПНСмнД
чтимые                           .ПНСмнВ
чтимыми                          .ПНСмнТ
чтимых                           .ПНСмнП
чтим                             .ПНСКм
чтима                            .ПНСКж
чтимо                            .ПНСКс
чтимы                            .ПНСКмн
чтивший                          .ППДмИ
чтившего                         .ППДмР
чтившему                         .ППДмД
чтивший                          .ППДмВ
чтившим                          .ППДмТ
чтившем                          .ППДмП
чтившая                          .ППДжИ
чтившей                          .ППДжР
чтившей                          .ППДжД
чтившую                          .ППДжВ
чтившей                          .ППДжТ1
чтившею                          .ППДжТ2
чтившей                          .ППДжП
чтившее                          .ППДсИ
чтившего                         .ППДсР
чтившему                         .ППДсД
чтившее                          .ППДсВ
чтившим                          .ППДсТ
чтившем                          .ППДсП
чтившие                          .ППДмнИ
чтивших                          .ППДмнР
чтившим                          .ППДмнД
чтившие                          .ППДмнВ
чтившими                         .ППДмнТ
чтивших                          .ППДмнП
чтя                              .ДН
чтив                             .ДП
чтивши                           .ДП*

чтиться                          .ГИ нес неп НБII7+I-II2 П1 Пв2!* ПНД1|1 ППД1в ДН1 ДП1
чтусь                            .ГНБ1е
чтишься                          .ГНБ2е
чтится                           .ГНБ3е
чтимся                           .ГНБ1мн
чтитесь                          .ГНБ2мн
чтятся                           .ГНБ3мн1
чтутся                           .ГНБ3мн2
чтился                           .ГПм
чтилась                          .ГПж
чтилось                          .ГПс
чтились                          .ГПмн
чтись                            .ГПве
чтитесь                          .ГПвмн
чтящийся                         .ПНД1мИ
чтящегося                        .ПНД1мР
чтящемуся                        .ПНД1мД
чтящийся                         .ПНД1мВ
чтящимся                         .ПНД1мТ
чтящемся                         .ПНД1мП
чтящаяся                         .ПНД1жИ
чтящейся                         .ПНД1жР
чтящейся                         .ПНД1жД
чтящуюся                         .ПНД1жВ
чтящейся                         .ПНД1жТ1
чтящеюся                         .ПНД1жТ2
чтящейся                         .ПНД1жП
чтящееся                         .ПНД1сИ
чтящегося                        .ПНД1сР
чтящемуся                        .ПНД1сД
чтящееся                         .ПНД1сВ
чтящимся                         .ПНД1сТ
чтящемся                         .ПНД1сП
чтящиеся                         .ПНД1мнИ
чтящихся                         .ПНД1мнР
чтящимся                         .ПНД1мнД
чтящиеся                         .ПНД1мнВ
чтящимися                        .ПНД1мнТ
чтящихся                         .ПНД1мнП
чтущийся                         .ПНД2мИ
чтущегося                        .ПНД2мР
чтущемуся                        .ПНД2мД
чтущийся                         .ПНД2мВ
чтущимся                         .ПНД2мТ
чтущемся                         .ПНД2мП
чтущаяся                         .ПНД2жИ
чтущейся                         .ПНД2жР
чтущейся                         .ПНД2жД
чтущуюся                         .ПНД2жВ
чтущейся                         .ПНД2жТ1
чтущеюся                         .ПНД2жТ2
чтущейся                         .ПНД2жП
чтущееся                         .ПНД2сИ
чтущегося                        .ПНД2сР
чтущемуся                        .ПНД2сД
чтущееся                         .ПНД2сВ
чтущимся                         .ПНД2сТ
чтущемся                         .ПНД2сП
чтущиеся                         .ПНД2мнИ
чтущихся                         .ПНД2мнР
чтущимся                         .ПНД2мнД
чтущиеся                         .ПНД2мнВ
чтущимися                        .ПНД2мнТ
чтущихся                         .ПНД2мнП
чтившийся                        .ППДмИ
чтившегося                       .ППДмР
чтившемуся                       .ППДмД
чтившийся                        .ППДмВ
чтившимся                        .ППДмТ
чтившемся                        .ППДмП
чтившаяся                        .ППДжИ
чтившейся                        .ППДжР
чтившейся                        .ППДжД
чтившуюся                        .ППДжВ
